variables
RECTYPE
YEAR
SAMPLE
SERIAL
CBSERIAL
NUMPREC
SUBSAMP
HHWT
HHTYPE
CBHHTYPE
REPWT
CLUSTER
ADJUST
CPI99
STRATA
RESPMODE
REGION
STATEICP
STATEFIP
COUNTYICP
COUNTYFIP
DENSITY
METRO
MET2013
MET2013ERR
METPOP10
PCTMETRO
CITY
CITYERR
CITYPOP
PUMA
CPUMA0010
HOMELAND
CNTRY
GQ
GQTYPE
FARM
OWNERSHP
MORTGAGE
MORTGAG2
FARMPROD
ACREHOUS
MORTAMT1
MORTAMT2
TAXINCL
INSINCL
PROPINSR
PROPTX99
OWNCOST
RENT
RENTGRS
RENTMEAL
CONDOFEE
MOBLHOME
COSTELEC
COSTGAS
COSTWATR
COSTFUEL
HHINCOME
FOODSTMP
VALUEH
LINGISOL
VACANCY
VACDUR
VACOTH
KITCHEN
SINK
STOVE
ROOMS
PLUMBING
HOTWATER
SHOWER
BUILTYR2
UNITSSTR
BEDROOMS
FRIDGE
PHONE
CINETHH
CILAPTOP
CISMRTPHN
CITABLET
CIOTHCOMP
CIDATAPLN
CIHISPEED
CISAT
CIDIAL
CIOTHSVC
FUELHEAT
VEHICLES
COUPLETYPE
SSMC
NFAMS
NSUBFAM
NCOUPLES
NMOTHERS
NFATHERS
MULTGEN
CBNSUBFAM
PERNUM
CBPERNUM
PERWT
SLWT
REPWTP
FAMUNIT
FAMSIZE
SUBFAM
SFTYPE
SFRELATE
CBSUBFAM
CBSFTYPE
CBSFRELATE
MOMLOC
MOMRULE
POPLOC
POPRULE
SPLOC
SPRULE
MOMLOC2
MOM2RULE
POPLOC2
POP2RULE
NCHILD
NCHLT5
NSIBS
ELDCH
YNGCH
RELATE
SEX
AGE
BIRTHQTR
MARST
BIRTHYR
MARRNO
MARRINYR
YRMARR
DIVINYR
WIDINYR
FERTYR
RACE
HISPAN
BPL
ANCESTR1
ANCESTR2
CITIZEN
YRNATUR
YRIMMIG
YRSUSA1
YRSUSA2
LANGUAGE
SPEAKENG
TRIBE
RACAMIND
RACASIAN
RACBLK
RACPACIS
RACWHT
RACOTHER
RACNUM
HCOVANY
HCOVPRIV
HINSEMP
HINSPUR
HINSTRI
HCOVPUB
HINSCAID
HINSCARE
HINSVA
HINSIHS
HCOVSUB2
HIUFPGBASE
HIUFPGINC
HIURULE
HIUPOVUNIV
HIUHHSPOV
HIUID
HIUNPERS
SCHOOL
EDUC
GRADEATT
SCHLTYPE
DEGFIELD
DEGFIELD2
EMPSTAT
LABFORCE
CLASSWKR
OCC
OCC1950
OCC1990
OCC2010
OCCSOC
IND
IND1950
IND1990
INDNAICS
WKSWORK1
WKSWORK2
UHRSWORK
WRKLSTWK
ABSENT
LOOKING
AVAILBLE
WRKRECAL
WORKEDYR
INCTOT
FTOTINC
INCWAGE
INCBUS00
INCSS
INCWELFR
INCINVST
INCRETIR
INCSUPP
INCOTHER
INCEARN
POVERTY
OCCSCORE
SEI
HWSEI
PRESGL
PRENT
ERSCOR50
ERSCOR90
EDSCOR50
EDSCOR90
NPBOSS50
NPBOSS90
MIGRATE1
MIGPLAC1
MIGCOUNTY1
MIGMET131
MIGMET13ERR
MIGTYPE1
MIGPUMA1
MOVEDIN
VETDISAB
DIFFREM
DIFFPHYS
DIFFMOB
DIFFCARE
DIFFSENS
DIFFEYE
DIFFHEAR
VETSTAT
VET01LTR
VET90X01
VET75X90
VETVIETN
VET55X64
VETKOREA
VETWWII
VETOTHER
PWSTATE2
PWCOUNTY
PWMET13
PWMET13ERR
PWTYPE
PWPUMA00
TRANWORK
CARPOOL
RIDERS
TRANTIME
DEPARTS
ARRIVES
GCHOUSE
GCMONTHS
GCRESPON
