variables
RECTYPE
YEAR
SAMPLE
SERIAL
NUMPREC
SUBSAMP
HHWT
CLUSTER
STRATA
HHTYPE
CPI99
DWELLING
DWSEQ
DWSIZE
NUMHH
NUMHHTAK
NUMPERHH
CBSERIAL
REPWT
ADJUST
RESPMODE
SLPERNUM
SELFWTHH
CBHHTYPE
MULTYEAR
EXPWTH
REGION
STATEICP
STATEFIP
COUNTYICP
METRO
METAREA
CITY
CITYPOP
SIZEPL
APPAL
URBAN
COUNTYFIP
SEA
URBPOP
COUNTYNHG
NENGPOP
CITYERR
PUMA
DENSITY
MET2013
MET2013ERR
METPOP10
CPUMA0010
HOMELAND
PUMASUPR
METPOP00
PCTMETRO
CNTYGP97
CONSPUMA
CNTYGP98
PLACENHG
PUMAMINI
LMA
COMZONE
CNTRY
METDIST
MDSTATUS
URBAREA
MCD
INCORP
WARD
CITYMETD
PUMATYPE
PUMATY00
PUMALAND
PUMAAREA
URBTYPE
URBSIZE
URBRURAL
URBFRYN
OTHURBYN
RURALYN
MET2003
PRCOUNTA
PRCITYCO
PRCOUNTY
PRTWNSHP
PRDATANU
GQ
GQTYPE
GQFUNDS
FARM
OWNERSHP
MORTGAGE
RENT
FARMPROD
RENTGRS
COMMUSE
MORTGAG2
TAXINCL
INSINCL
ACREPROP
ACREHOUS
MORTAMT1
MORTAMT2
PROPINSR
PROPTX99
OWNCOST
RENTMEAL
CONDOFEE
CONDO
MOBLHOME
FARMSCHD
LANDRENT
ACRENONF
MORTOTAL
PROPTXIN
RENT30
MOBLHOM2
MOBLOAN
LANDOWN
LANDRNPR
GROWNPR
SECRES
VALUEH
COSTELEC
COSTGAS
COSTWATR
COSTFUEL
HHINCOME
FOODSTMP
FWAGE1
FWAGE2
FBUSINC
FOTHINC
FDSTPAMT
SECRESMO
SECRESRE
PUBHOUS
RENTSUB
HEATSUB
LUNCHSUB
KITCHEN
ROOMS
PLUMBING
UNITSSTR
VACANCY
BEDROOMS
LINGISOL
HOTWATER
SHOWER
BUILTYR
VACDUR
BUILTYR2
ACCESS
TOILET
WATERSRC
SEWAGE
SINK
STOVE
TOILET2
BASEMENT
UNITSADD
BATHRMS
STORIES
ELEVATOR
VACELSE
VACBOARD
VACOTH
SECHOME
HOUSQUAL
KITCHENORIG
KITPIPPR
COOKLOPR
COOKTYPR
ROOMSORIG
ELECTRPR
PIPLOCPR
RWATPR
HOTWTRPR
CONSTYPR
OFFICEPR
BEDROOMSORIG
FRIDGE
PHONE
FUELHEAT
VEHICLES
HEATING
AIRCON
AUTOS
TV
RADIO
CINETHH
CILAPTOP
CISMRTPHN
CITABLET
CIOTHCOMP
CIDATAPLN
CIHISPEED
CISAT
CIDIAL
CIOTHSVC
WASHER
DRYER
FREEZER
FUELCOOK
FUELWATR
UHF
RADIO30
DISHWSHR
TRUCKS
FRIDGEORIG
PHONEORIG
CIHAND
FRIGTYPR
NFAMS
NCOUPLES
NMOTHERS
NFATHERS
NSUBFAM
MULTGEN
CBNSUBFAM
SSMC
COUPLETYPE
