Sample ID,Description
hn1961a,Honduras 1961
hn1974a,Honduras 1974
hn1988a,Honduras 1988
hn2001a,Honduras 2001
ht1971a,Haiti 1971
ht1982a,Haiti 1982
ht2003a,Haiti 2003
hu1970a,Hungary 1970
hu1980a,Hungary 1980
hu1990a,Hungary 1990
hu2001a,Hungary 2001
hu2011a,Hungary 2011
id1971a,Indonesia 1971
id1976a,Indonesia 1976
id1980a,Indonesia 1980
id1985a,Indonesia 1985
id1990a,Indonesia 1990
id1995a,Indonesia 1995
id2000a,Indonesia 2000
id2005a,Indonesia 2005
id2010a,Indonesia 2010
ie1901a,Ireland 1901
ie1911a,Ireland 1911
ie1971a,Ireland 1971
ie1979a,Ireland 1979
ie1981a,Ireland 1981
ie1986a,Ireland 1986
ie1991a,Ireland 1991
ie1996a,Ireland 1996
ie2002a,Ireland 2002
ie2006a,Ireland 2006
ie2011a,Ireland 2011
ie2016a,Ireland 2016
il1972a,Israel 1972
il1983a,Israel 1983
il1995a,Israel 1995
il2008a,Israel 2008
in1983a,India 1983
in1987a,India 1987
in1993a,India 1993
in1999a,India 1999
in2004a,India 2004
in2009a,India 2009
iq1997a,Iraq 1997
ir2006a,Iran 2006
ir2011a,Iran 2011
is1703a,Iceland 1703
is1729a,Iceland 1729
is1801a,Iceland 1801
is1901a,Iceland 1901
is1910a,Iceland 1910
it2001a,Italy 2001
it2011a,Italy 2011
it2011h,Italy 2011 Q1 LFS
it2012h,Italy 2012 Q1 LFS
it2013h,Italy 2013 Q1 LFS
it2014h,Italy 2014 Q1 LFS
it2015h,Italy 2015 Q1 LFS
it2016h,Italy 2016 Q1 LFS
it2017h,Italy 2017 Q1 LFS
it2018h,Italy 2018 Q1 LFS
it2019h,Italy 2019 Q1 LFS
it2020h,Italy 2020 Q1 LFS
jm1982a,Jamaica 1982
jm1991a,Jamaica 1991
jm2001a,Jamaica 2001
jo2004a,Jordan 2004
ke1969a,Kenya 1969
ke1979a,Kenya 1979
ke1989a,Kenya 1989
ke1999a,Kenya 1999
ke2009a,Kenya 2009
kg1999a,Kyrgyz Republic 1999
kg2009a,Kyrgyz Republic 2009
kh1998a,Cambodia 1998
kh2004a,Cambodia 2004
kh2008a,Cambodia 2008
kh2013a,Cambodia 2013
la2005a,Laos 2005
lc1980a,Saint Lucia 1980
lc1991a,Saint Lucia 1991
lr1974a,Liberia 1974
lr2008a,Liberia 2008
ls1996a,Lesotho 1996
ls2006a,Lesotho 2006
ma1982a,Morocco 1982
ma1994a,Morocco 1994
ma2004a,Morocco 2004
ma2014a,Morocco 2014
ml1987a,Mali 1987
ml1998a,Mali 1998
ml2009a,Mali 2009
mm2014a,Myanmar 2014
mn1989a,Mongolia 1989
mn2000a,Mongolia 2000
mu1990a,Mauritius 1990
mu2000a,Mauritius 2000
mu2011a,Mauritius 2011
mw1987a,Malawi 1987
mw1998a,Malawi 1998
mw2008a,Malawi 2008
mx1960a,Mexico 1960
mx1970a,Mexico 1970
mx1990a,Mexico 1990
mx1995a,Mexico 1995
mx2000a,Mexico 2000
mx2005a,Mexico 2005
mx2005h,Mexico 2005 Q1 LFS
mx2005i,Mexico 2005 Q2 LFS
mx2005j,Mexico 2005 Q3 LFS
mx2005k,Mexico 2005 Q4 LFS
mx2006h,Mexico 2006 Q1 LFS
mx2006i,Mexico 2006 Q2 LFS
mx2006j,Mexico 2006 Q3 LFS
mx2006k,Mexico 2006 Q4 LFS
mx2007h,Mexico 2007 Q1 LFS
mx2007i,Mexico 2007 Q2 LFS
mx2007j,Mexico 2007 Q3 LFS
mx2007k,Mexico 2007 Q4 LFS
mx2008h,Mexico 2008 Q1 LFS
mx2008i,Mexico 2008 Q2 LFS
mx2008j,Mexico 2008 Q3 LFS
mx2008k,Mexico 2008 Q4 LFS
mx2009h,Mexico 2009 Q1 LFS
mx2009i,Mexico 2009 Q2 LFS
mx2009j,Mexico 2009 Q3 LFS
mx2009k,Mexico 2009 Q4 LFS
mx2010a,Mexico 2010
