variables
ABSENT
ACTCCRD
ACTNLFLY
ACTSAME
ADJGINC
AGE
AGEMARR
AHRSWORK1
AHRSWORK2
AHRSWORKT
ANCESTRY
ANYCOVLY
ANYCOVNW
ANYPART
ASECFLAG
ASECFWT
ASECOVERH
ASECOVERP
ASECWT
ASECWT04
ASECWTCVD
ASECWTH
ASECWTH04
ASIAN
ASPOUSE
ATELUNCH
AWCH813HH
AWCH813WRKN
AWCMPJBS
AWCONDAYS
AWCONTRACT
AWCONTRANS
AWCROPLS
AWCSHWG
AWCSHWG01
AWCSHWG02
AWCSHWG03
AWCSHWG04
AWCSHWG05
AWCSHWG06
AWCSHWG07
AWCSHWG08
AWCSHWG09
AWCSHWG10
AWCSHWG11
AWCSHWG12
AWCSHWGQ1
AWCSHWGQ2
AWCSHWGQ3
AWCSHWGQ4
AWDISTFW
AWDYRT
AWDYRTQ1
AWDYRTQ2
AWDYRTQ3
AWDYRTQ4
AWDYSNOPAY
AWDYSOWNFRM
AWDYSQ1
AWDYSQ2
AWDYSQ3
AWDYSQ4
AWDYWGQ1
AWDYWGQ2
AWDYWGQ3
AWDYWGQ4
AWFRMSALES
AWFRMSNO
AWFRMWAGE
AWFRMWGDYS
AWFRMWRK
AWFRMWRKDYS
AWFRMWRKHH
AWFRMWRKMIG
AWFRMWRKYRS
AWHRATE
AWINCOME
AWJOBTYP
AWMAJACT
AWMIGDYS
AWMONS
AWMONSQ1
AWMONSQ2
AWMONSQ3
AWMONSQ4
AWNFEMPLR
AWNFHRS
AWNFIND
AWNFJBCLS
AWNFOCC
AWNONCASH
AWNONFERN
AWNONFRMDYS
AWNONFRMLNG
AWNONFRMRT
AWNONFRMWK
AWNOPAY
AWOWNFRM
AWPAYINT
AWPROXY
AWSFWDC
AWSFWDS
AWSFWMIG
AWSFWSC
AWSUPPWT
AWWGWRK01
AWWGWRK02
AWWGWRK03
AWWGWRK04
AWWGWRK05
AWWGWRK06
AWWGWRK07
AWWGWRK08
AWWGWRK09
AWWGWRK10
AWWGWRK11
AWWGWRK12
BACCT12M
BACCTACCS
BACCTEV
BACCTFUTREAS
BACCTFUTURE
BAUTOTITLE12M
BBEHINDBILLS
BBILLCASH
BBILLCC
BBILLCHECK
BBILLDC
BBILLELEC
BBILLMO
BBILLMOB
BBILLOTH
BBILLPC
BCHECK12M
BCHECK30D
BCHECKEV
BCHECKOFT
BCHECKREAS
BCREDITAPP
BCREDITCARD
BCREDITDENY
BCREDITWANT
BFINPART
BFINSHARE
BGOVCARDFS
BGOVCARDOTH
BGOVCARDSS
BGOVCARDUN
BINC12M
BINCACCT
BINCCARD
BINCCASH
BINCCHECK
BINCOTH
BINCWHERE
BINTERNET
BIRTHQTR
BLVENOWK
BMOBILE
BMOBILESMART
BMORDER12M
BMORDER30D
BMORDEREV
BMORDEROFT
BMORDERREAS
BNOACCT
BNOACCTREAS
BPACCT
BPAWN12M
BPAWN30D
BPAWNEV
BPAWNOFT
BPAWNREAS
BPAYDAY
BPAYDAY12M
BPAYDAY30D
BPAYDAYOFT
BPAYDAYREAS
BPL
BPPAID12M
BPPAIDBANK
BPPAIDEMP
BPPAIDEV
BPPAIDFAM
BPPAIDGOV
BPPAIDOTH
BPPAIDRTL
BPSUPINT
BREMIT
BREMIT30D
BREMITANY12M
BREMITBANK12M
BREMITNOBANK
BREMITREAS
BRENT2OWN12M
BRENT2OWNEV
BRENT2OWNOFT
BSAVE12M
BSAVEBOND
BSAVECACCT
BSAVEKEEP
BSAVEOTH
BSAVEPAWN
BSAVEPCARD
BSAVESACCT
BTAXLOAN12M
BTAXLOAN5YR
BTAXLOANEVR
BUNBANKED
BUNDERBANKREAS
BWHOACCT
CAIDLW
CAIDLY
CAIDNW
CAIDPART
CANTFIND
CAPGAIN
CAPLOSS
CARELW
CARELY
CBSASZ
CEATTMEET
CEBOYCOTT
CECOMSERV
CECONSTLAW
CECORPCONF
CEFAMDINNR
CEFAVORS
CEFRNDNUM
CEINTERCOM
CEMEDCONF
CENEIGHCONF
CENEWSMAG
CENEWSPPR
CENEWSRDO
CENEWSTV
CENEWSWEB
CEORGCIV
CEORGCOM
CEORGOTHER
CEORGRELIG
CEORGSPORT
CEPOLCONV
CEPOLMEET
CEPOLSUPP
CEPROTEST
CEPUBOFF
CESCHLCONF
CESOCCONTCT
CESOCIALIZE
CESUPPWT
CEVETORULE
CEVOTEFREQ
CEWEBOPIN
CHAMPLW
CHAMPVALY
CHAMPVANW
CHSUPPAID
CICMPGAM
CICMPSWK
CICOMPYR
CICONTYP
CIEMAIL
CIHCMPLRN
CIHDAYS
CIHDTPUB
CIHFORWK
CIHHCOMP
CIHPROG
CIHRECRD
CIHSNET
CIHSPREAD
CIHWORD
CINETHH
CINETHP
CINONET
CINONTDA
CINONTMO
CINTCLAS
CINTCOST
CINTEXPO
CINTFUN
CINTJBSR
CINTLIB
CINTLIBH
CINTOTHH
CINTOTHHH
CINTOUT
CINTOUTH
CINTPHON
CINTSCH
CINTSCHH
CINTSWK
CINTUSE
CINUMCMP
CIPRIV1
CIPRIV2
CIPWT
CISCHCMP
CISTPNET
CISUPPWT
CITIZEN
CIUSECMP
CIWANLYS
CIWBOOKK
CIWCOMM
CIWDBASE
CIWDTPUB
CIWDTPWRD
CIWEMAIL
CIWGRAPH
CIWINVEN
CIWINVOICE
CIWOTH
CIWPROG
CIWRKCMP
CIWSALES
CIWSCHED
CIWSPDB
CIWSPREAD
CIWWORD
CLASSWKR
CLASSWLY
COLLEG75
COLLEG80
COMPWT
COUNTRY
COUNTY
COVERGH
COVERLW
COVERPI
COVIDLOOK
COVIDMED
COVIDPAID
COVIDTELEW
COVIDUNAW
CPI99
CPSID
CPSIDP
CPSIDV
CSAGREE
CSALL
CSAMDUE
CSAMREC
CSBACK1
CSBACK2
CSCHG
CSCHGYR
CSCONTACT
CSDAYS
CSDDUCT
CSELIG
CSFREQ1
CSFREQ2
CSFULL
CSLEGAL
CSLEGCUS
CSOUT
CSPAY
CSPHYCUS
CSREAS
CSRECV
CSREG
CSSUPP
CSSUPPWT
CSTIME
CSTYPE
CSVIS
CSVISLEG
CSWAYPAY
CSWHY
CSWORK
CSWORK5
CSYEAR
CSYEARPAY
CSYRDIV
CSYRMAR
CTCCRD
CUTOFF
CWCONCUST
CWCONSITE
CWCONTCUR
CWCONTOLD
CWCONTRACT
CWCONTRACTIC
CWDAYLAB
CWDEFBRD
CWDEFMED
CWDEFNARR
CWEMPIRA
CWHICOV
CWHIEMP
CWHIEMPANY
CWHIEMPCLD
CWHIEMPNOTEL
CWHIEMPNOTIN
CWHIEMPPAY
CWHIHOW
CWHIOTH
CWLENCCN
CWLENCCU
CWLENCSN
CWLENCSU
CWLENCURN
CWLENCURU
CWLENDLN
CWLENDLU
CWLENOCN
CWLENOCU
CWLENOCWN
CWLENOCWU
DEPSTAT
DIASSISTINS
DIASSISTMCAID
DIASSISTMCARE
DIASSISTNONE
DIASSISTOTH
DIASSISTOTHDI
DIASSISTSSDI
DIASSISTSSI
DIASSISTVET
DIASSISTWORK
DIASSISTWRKCMP
DICOMBIKE
DICOMBUS
DICOMCAR
DICOMHOME
DICOMOTHER
DICOMPASS
DICOMPOOL
DICOMTAXI
DICOMTRAIN
DICOMVAN
DICOMWALK
DIEMPBAR1
DIEMPBAR2
DIEMPBAR3
DIEMPBAR4
DIEMPBAR5
DIEMPBAR6
DIEMPBAR7
DIEMPBAR8
DIEMPBAR9
DIEMPBARR
DIFFANY
DIFFCARE
DIFFEYE
DIFFHEAR
DIFFMOB
DIFFPHYS
DIFFREM
DIJOB1STOP
DIJOBCAP
DIJOBCENTER
DIJOBOTHER
DIJOBTECH
DIJOBTICKET
DIJOBVOC
DILOSEJOB
DISABWRK
DISUPFLG
DISUPPWT
DIWORKAFFECT
DPCOUTLY
DPCOUTNW
DPCOVLY
DPCOVNW
DPDEPLY
DPDEPNW
DPOUTLY
DPOUTNW
DPOWNLY
DPOWNNW
DPTYPLY
DPTYPNW
DPWHO1
DPWHO2
DPWHONW
DURUNEM2
DURUNEMP
DWBASICFLAG
DWBEN
DWCLASS
DWEXBEN
DWFULLTIME
DWHI
DWHINOW
DWHRSWKC
DWIND
DWIND1990
DWJOBSINCE
DWLASTWRK
DWLOSTJOB
DWMOVE
DWNOTICE
DWOCC
DWOCC1990
DWREAS
DWRECALL
DWRESP
DWSTAT
DWSUPPWT
DWUNION
DWWAGEC
DWWAGEL
DWWEEKC
DWWEEKL
DWWKSUN
DWYEARS
EARNWEEK
EARNWEEK2
EARNWT
EDATT
EDATTLY
EDCATHLC
EDCYC
EDDEGWRK
EDDIPGED
EDFULL
EDGED
EDGRADE
EDGRDLY
EDHGCGED
EDPUPR
EDREPEAT
EDRPT1
EDRPT10
EDRPT11
EDRPT12
EDRPT2
EDRPT3
EDRPT4
EDRPT5
EDRPT6
EDRPT7
EDRPT8
EDRPT9
EDRPTK
EDSCHUS
EDSCHUSYRS
EDSTUDY
EDSUPPWT
EDTYPE
EDUC
EDUC99
EDVOCA
EDYRATT
EDYRDEG
EDYRDIP
EITCRED
ELDCH
ELIGORG
EMCONTRB
EMPSAME
EMPSTAT
FAMDUTY
FAMID
FAMINC
FAMKIND
FAMREL
FAMSIZE
FAMUNIT
FARM
FBPL
FEBMAR
FEDRETIR
FEDTAX
FEDTAXAC
FFNGCAID
FFNGCARE
FICA
FILESTAT
FIRMSIZE
FOODSTAMP
FOODSTMP
FRAGE1
FRAGE2
FRAGE3
FRAGE4
FRAGEM
FRAGMNT
FRBIRTHM
FRBIRTHM1
FRBIRTHM2
FRBIRTHM3
FRBIRTHM4
FRBIRTHY
FRBIRTHY1
FRBIRTHY2
FRBIRTHY3
FRBIRTHY4
FRELUNCH
FREVER
FREXPECT
FREXPECTN
FREXPECTN5
FRMARFIRST
FRRES1
FRRES2
FRRES3
FRRES4
FRRESL
FRSEX1
FRSEX2
FRSEX3
FRSEX4
FRSEXL
FRSUPPWT
FSBAL
FSBALCH
FSBALCHMO
FSBALMO
FSBRKFRC
FSBUYMR
FSBUYMRMO
FSCOMCTR
FSCUTCH
FSCUTCHM
FSCUTCHMCAT
FSDAYCH
FSDAYCHM
FSDAYF
FSDAYMO
FSDAYMOCAT
FSEFMONY
FSEMRGFD
FSENGHCH
FSENGHCM
FSFDBNK
FSFDBNKMO
FSFDSTMP
FSFDSTMP76
FSFDSTMP77
FSFOODS
FSFRHDSTC
FSHNGRCH
FSHNGRCM
FSHNGRCMCAT
FSHUNGR
FSHUNGRMO
FSHUNGRMOCAT
FSHWTSCALE
FSKFDAVL
FSKFDIET
FSKFMONY
FSKFSTOR
FSKFTIME
FSLESSMO
FSLESSMOCAT
FSLESSYR
FSLNCHFRC
FSLOSEWT
FSLOSEWTM
FSLWCFDC
FSLWCFDCM
FSMLSWHLS
FSOTHPGM
FSPOOR
FSRASCH
FSRASCHA
FSRASCHC
FSRASCHM
FSRASCHMA
FSRASCHMC
FSRAWSC95
FSRAWSCR
FSRAWSCRA
FSRAWSCRC
FSRAWSCRM
FSRAWSCRMA
FSRAWSCRMC
FSRNOUTM
FSRUNOUT
FSSCREEN
FSSHORT
FSSKIPCH
FSSKIPCM
FSSKIPCMCAT
FSSKIPMO
FSSKIPMOCAT
FSSKIPYR
FSSNTCHLD
FSSOUPK
FSSOUPKMO
FSSPDLES
FSSPDLESC
FSSPDMKT
FSSPDML
FSSPDMOR
FSSPDMORC
FSSPDOTH
FSSPDOTHC
FSSPDREST
FSSPDRESTC
FSSPDSTR
FSSTATUS
FSSTATUS95
FSSTATUSA
FSSTATUSC
FSSTATUSD
FSSTATUSM
FSSTATUSMA
FSSTATUSMC
FSSTATUSMD
FSSTMPAPR
FSSTMPAUG
FSSTMPDAY
FSSTMPDEC
FSSTMPFEB
FSSTMPJAN
FSSTMPJUL
FSSTMPJUN
FSSTMPMAR
FSSTMPMAY
FSSTMPMO
FSSTMPNOV
FSSTMPOCT
FSSTMPSEP
FSSTMPVAL
FSSTMPVALC
FSSUPINT
FSSUPPWT
FSSUPPWTH
FSTOTXPN
FSTOTXPNC
FSULXPNS
FSULXPNSC
FSWIC
FSWROUTMO
FSWROUTY
FTOTVAL
FTYPE
FUELHEAT
FULLPART
FWKADS
FWKEMPLR
FWKOTHER
FWKPUBAG
FWKPVTAG
FWKRELAT
GEDTRAIN
GOTALCH
GOTDIVID
GOTELSE
GOTESTAT
GOTFEDRP
GOTINT
GOTMILRP
GOTPVTRP
GOTREGCT
GOTRENT
GOTRRRP
GOTSS
GOTSTLRP
GOTUNEMP
GOTVDISA
GOTVEDUC
GOTVETPA
GOTVOTHE
GOTVPENS
GOTVSURV
GOTWELFR
GOTWIC
GOTWKCOM
GQ
GQTYPE
GROUPLW
GRPCOUTLY
GRPCOUTNW
GRPCOVLY
GRPCOVNW
GRPDEPLY
GRPDEPNW
GRPOUTLY
GRPOUTNW
GRPOWNLY
GRPOWNNW
GRPTYPLY
GRPTYPNW
GRPWHO1
GRPWHO2
GRPWHONW
HANDICAP
HCOVANY
HCOVPRIV
HCOVPUB
HEALTH
HEATPAY
HEATSUB
HEATVAL
HFLAG
HHINCOME
HHINTYPE
HHRESPLN
HHTENURE
HICHAMP
HIELIG
HIGRADE
HIMCAIDLY
HIMCAIDNW
HIMCARELY
HIMCARENW
HINELIG1
HINELIG2
HINELIG3
HINELIG4
HINELIG5
HINELIG6
HINSCAID
HINSCARE
HINSEMP
HINSMIL
HINSPUR
HINSWT
HINTAKE1
HINTAKE2
HINTAKE3
HINTAKE4
HINTAKE5
HINTAKE6
HINTAKE7
HINTAKE8
HIOFFER
HIOTHER
HIOUTTYP
HIPVAL
HISPAN
HIUFPGBASE
HIUFPGINC
HIUID
HIUNPERS
HIURULE
HOURWAGE
HOURWAGE2
HOUSRET
HOUSSUB
HRHHID
HRHHID2
HRSAMPLE
HRSERSUF
HSDAWT
HSEQ
HUHHNUM
HWTFINL
IHSLW
ILHEALTH
IM3DMEAS
IM3DMEASVAC
IM3DMEASVACYR
IM3DMEASYR
IMCHRNHEART
IMCHRNKD
IMCHRNLUNG
IMDAYCARE
IMDIAB
IMDTPVAC
IMDTPVACN
IMFLUVAC
IMMUMPSVAC
IMMUMPSVACYR
IMMUMPSYR
IMPOLIOVAC
IMPOLIOVACN
IMPOLIOVACYR
IMRMEAS
IMRMEASVAC
IMRMEASVACYR
IMRMEASYR
IMSUPPWT
INCALIM
INCALOTH
INCASIST
INCBUS
INCCAPG
INCCHILD
INCDISA1
INCDISA2
INCDISAB
INCDIVID
INCDRT
INCEDUC
INCFARM
INCGOV
INCIDR
INCINT
INCLONGJ
INCLUGH
INCOTHER
INCPEN1
INCPEN2
INCPENS
INCRANN
INCRENT
INCRET1
INCRET2
INCRETI1
INCRETI2
INCRETIR
INCRINT1
INCRINT2
INCSS
INCSSI
INCSURV
INCSURV1
INCSURV2
INCTOT
INCUNEMP
INCUNERN
INCVET
INCWAGE
INCWELFR
INCWKCOM
IND
IND1950
IND1990
IND50LY
IND90LY
INDIVIDCC
INDLY
INHCOVLY
INHCOVNW
INTENFWK
INTTYPE
JOBCERT
JOBCLUB
JOBREADY
JOBTRAIN
JTCLASS
JTIND
JTIND1990
JTOCC
JTOCC1990
JTRESP
JTSAME
JTSUPPWT
JTYEARAGO
JTYEARS
JTYPE
KATEVAC
KATEVAC2
KATPRIOR
KIDCAID
KIDCARE
KIDCNEED
KIDDUTY
KIDPRIV
LABFORCE
LACKSCHL
LFPROXY
LINENO
LKWKFTPT
LNKFW1MWT
LNKFW1YWT
LNKFW8WT
LNKFWMIS14WT
LNKFWMIS45WT
LNKFWMIS58WT
LOOKING
LUNCHSUB
MAJORACT
MARBASECIDH
MARBASECIDP
MARBASECSTAGE
MARGTAX
MARRQTR
MARST
MBPL
METAREA
METFIPS
METRO
MHAGEMAR1
MHAGEMAR2
MHAGEMARL
MHAGESEP1
MHAGESEP2
MHAGESEPL
MHAGETERM1
MHAGETERM2
MHAGETERML
MHMAR1ENDM
MHMAR1ENDY
MHMAR1M
MHMAR1SEPM
MHMAR1SEPY
MHMAR1WIDIV
MHMAR1Y
MHMAR2ENDM
MHMAR2ENDY
MHMAR2M
MHMAR2SEPM
MHMAR2SEPY
MHMAR2WIDIV
MHMAR2Y
MHMARLENDM
MHMARLENDY
MHMARLM
MHMARLSEPM
MHMARLSEPY
MHMARLY
MHMARNUM
MHMARPATH
MIGRAT75
MIGRATE1
MIGRATE5
MIGSTA1
MIGSTA5
MILIT75
MILIT80
MILITVA
MILVALW
MISH
MOCAID
MOM2RULE
MOMLOC
MOMLOC2
MOMRULE
MONTH
MOOP
MRKCOUTLY
MRKCOUTNW
MRKCOVLY
MRKCOVNW
MRKDEPLY
MRKDEPNW
MRKOUTLY
MRKOUTNW
MRKOWNLY
MRKOWNNW
MRKSCOUTLY
MRKSCOUTNW
MRKSCOVLY
MRKSCOVNW
MRKSDEPLY
MRKSDEPNW
MRKSOUTLY
MRKSOUTNW
MRKSOWNLY
MRKSOWNNW
MRKSTYPLY
MRKSTYPNW
MRKSWHO1
MRKSWHONW
MRKTYPLY
MRKTYPNW
MRKUCOUTLY
MRKUCOUTNW
MRKUCOVLY
MRKUCOVNW
MRKUDEPLY
MRKUDEPNW
MRKUOUTLY
MRKUOUTNW
MRKUOWNLY
MRKUOWNNW
MRKUTYPLY
MRKUTYPNW
MRKUWHO1
MRKUWHONW
MRKWHO1
MRKWHONW
MSACMSZ
MSAPMSZ
MTHWELFR
MULTCOV
MULTJOB
MWPVAL
NATIVITY
NCHILD
NCHLT5
NCOUPLES
NFAMS
NFATHERS
NILFACT
NMCOUTLY
NMCOUTNW
NMCOVLY
NMCOVNW
NMDEPLY
NMDEPNW
NMOTHERS
NMOUTLY
NMOUTNW
NMOWNLY
NMOWNNW
NMTYPLY
NMTYPNW
NMWHO1
NMWHONW
NOHEAT
NOLINKFLAG
NSIBS
NUMEMPS
NUMJOB
NUMPREC
NWLOOKWK
NWLOOKWK2
OCC
OCC10LY
OCC1950
OCC1990
OCC2010
OCC50LY
OCC90LY
OCCLY
OFFCUTOFF
OFFPOV
OFFPOVUNIV
OFFREASON
OFFTOTVAL
OINCBUS
OINCFARM
OINCWAGE
OTHEREAS
OTPAY
OUT
OUTOTHLW
OVERTIME
OWNERSHP
PAAPRLYR
PAIDEMP1
PAIDEMP1N
PAIDEMP2
PAIDEMP2N
PAIDGH
PAIDHOUR
PANLWT
PASUPPWT
PASUPPWT2
PASUPPWTA
PASUPPWTA2
PASUPPWTB
PASUPPWTC
PASUPPWTD
PASUPPWTE
PASUPPWTX
PAYIFABS
PBALLET
PBALLETN
PBOOK
PBOOKN
PCHILDATTN12M
PCLASS
PCLASSN
PCORE1FLG
PCORE2FLG
PCRAFT
PCRWRT
PDANCE
PDANCEN
PECOHAB
PEDADTYP
PELNDAD
PELNMOM
