variables
ABSENT
ACCESS
ACREHOUS
ACRENONF
ACREPROP
ACTIVITY
ADJGINC
ADJUST
ADJUSTUTP
AGE
AGEMARR
AGEMONTH
AGENTNUM
AGEORIG
AGESTR
AIRCON
ALLTYR
ANCESTR1
ANCESTR2
APPAL
ARRIVES
AUTOS
AVAILBLE
BASEMENT
BATHRMS
BEDROOMS
BEDROOMSORIG
BIRTHMO
BIRTHMOSTR
BIRTHQTR
BIRTHYR
BLIND
BLINDSTR
BLOODB
BLOODI
BLOODW
BPL
BPLSTR
BUILTYR
BUILTYR2
CANRDSTR
CANTRDSTR
CANTWRTSTR
CANWRTSTR
CARPOOL
CBHHTYPE
CBNSUBFAM
CBPERNUM
CBSERIAL
CBSFRELATE
CBSFTYPE
CBSUBFAM
CHBORN
CHSURV
CIDATAPLN
CIDIAL
CIHAND
CIHISPEED
CILAPTOP
CINETHH
CIOTHCOMP
CIOTHSVC
CISAT
CISMRTPHN
CITABLET
CITIZEN
CITIZENSTR
CITY
CITYERR
CITYMETD
CITYPOP
CITYSTR
CLASS5YR
CLASSWKR
CLUSTER
CNTRY
CNTYGP97
CNTYGP98
CNTYSTR
COLL5YR
COMMUSE
COMZONE
CONDO
CONDOFEE
CONMARST
CONSPUMA
CONSTYPR
COOKLOPR
COOKTYPR
COSTELEC
COSTFUEL
COSTGAS
COSTWATR
COUNTYFIP
COUNTYICP
COUNTYNHG
COUPLETYPE
CPI99
CPUMA0010
CRIME
DEAF
DEAFSTR
DEDUCTS
DEGFIELD
DEGFIELD2
DENSITY
DEPARTS
DIFFCARE
DIFFEYE
DIFFHEAR
DIFFMOB
DIFFPHYS
DIFFREM
DIFFSENS
DISABDUR
DISABSTR
DISABSTR2
DISABTRN
DISABWRK
DISHWSHR
DIVINYR
DRYER
DURMARR
DURUNEMP
DWELLING
DWNUMSTR
DWSEQ
DWSIZE
EDATTEND
EDINST
EDMISS
EDSCOR50
EDSCOR90
EDSIMIL
EDUC
ELDCH
ELECTRPR
ELEVATOR
EMPSTAT
ENUMDAY
ENUMDIST
ENUMMO
ENUMYR
ERSCOR50
ERSCOR90
EXPWTH
EXPWTP
FAMNOSTR
FAMSIZE
FAMUNIT
FARM
FARMPROD
FARMSCHD
FBPL
FBPLSTR
FBUSINC
FDSTPAMT
FERTYR
FMTONGUE
FOODSTMP
FOTHINC
FREEZER
FRIDGE
FRIDGEORIG
FRIGTYPR
FTOTINC
FTRIBE
FUELCOOK
FUELHEAT
FUELWATR
FWAGE1
FWAGE2
GCHOUSE
GCMONTHS
GCRESPON
GQ
GQFUNDS
GQSTR
GQTYPE
GRADEATT
GROWNPR
HADNAJOB
HCOVANY
HCOVANY2
HCOVPRIV
HCOVPRIV2
HCOVPUB
HCOVPUB2
HCOVSUB2
HEATING
HEATSUB
HHINCOME
HHTYPE
HHWT
HIFARM
HIGRADE
HIK
HINSCAID
HINSCAID2
HINSCARE
HINSCARE2
HINSEMP
HINSEMP2
HINSIHS
HINSIHS2
HINSPUR
HINSPUR2
