variables
RECTYPE
COUNTRY
YEAR
SAMPLE
SERIAL
PERSONS
HHWT
SUBSAMP
HHDONATE
FORMTYPE
QUARTER
WAVE
STRATA
GQ
GQTYPE
GQTYPEH
UNREL
URBAN
REGIONW
REGIONH
GEOLEV1
GEOLEV2
ENUTS1
ENUTS2
ENUTS3
ENUTS1_2013
ENUTS2_2013
ENUTS3_2013
POPDENSGEO1
POPDENSGEO2
AREAMOLLWGEO1
AREAMOLLWGEO2
CITYH
CITYPOPH
CNTYAREAH
SIZEPLH
ENUMDIST
GEO1_AR
GEO1_AR1970
GEO1_AR1980
GEO1_AR1991
GEO1_AR2001
GEO1_AR2010
GEO2_AR
GEO2_AR1970
GEO2_AR1980
GEO2_AR1991
GEO2_AR2001
GEO2_AR2010
GEO1_AM
GEO1_AM2001
GEO1_AM2011
GEO1_AT
GEO1_AT1971
GEO1_AT1981
GEO1_AT1991
GEO1_AT2001
GEO1_AT2011
GEO2_AT
GEO2_AT1971
GEO2_AT1981
GEO2_AT1991
GEO2_AT2001
GEO2_AT2011
GEO1_BD
GEO1_BD1991
GEO1_BD2001
GEO1_BD2011
GEO2_BD
GEO2_BD1991
GEO2_BD2001
GEO2_BD2011
GEO3_BD1991
GEO3_BD2001
GEO3_BD2011
GEO1_BY
GEO1_BY1999
GEO1_BY2009
CITYBY
GEO1_BJ
GEO1_BJ1979
GEO1_BJ1992
GEO1_BJ2002
GEO1_BJ2013
GEO2_BJ
GEO2_BJ1979
GEO2_BJ1992
GEO2_BJ2002
GEO2_BJ2013
GEO1_BO
GEO1_BO1976
GEO1_BO1992
GEO1_BO2001
GEO1_BO2012
GEO2_BO
GEO2_BO1976
GEO2_BO1992
GEO2_BO2001
GEO2_BO2012
GEO1_BW
GEO1_BW1981
GEO1_BW1991
GEO1_BW2001
GEO1_BW2011
GEO1_BR
GEO1_BR1960
GEO1_BR1970
GEO1_BR1980
GEO1_BR1991
GEO1_BR2000
GEO1_BR2010
GEO2_BR
GEO2_BR1970
GEO2_BR1980
GEO2_BR1991
GEO2_BR2000
GEO2_BR2010
REGNBR
MESOBR
METROBR
GEO1_BF
GEO1_BF1985
GEO1_BF1996
GEO1_BF2006
GEO2_BF
GEO2_BF1985
GEO2_BF1996
GEO2_BF2006
COMMBF
GEO1_KH
GEO1_KH1998
GEO1_KH2004
GEO1_KH2008
GEO1_KH2013
GEO2_KH
GEO2_KH1998
GEO2_KH2004
GEO2_KH2008
GEO2_KH2013
GEO1_CM
GEO1_CM1976
GEO1_CM1987
GEO1_CM2005
GEO2_CM
GEO2_CM1976
GEO2_CM1987
GEO2_CM2005
ARRNDCM
GEO1_CA
GEO1_CA1852_1911
GEO1_CA1852
GEO1_CA1871
GEO1_CA1881
GEO1_CA1891
GEO1_CA1901
GEO1_CA1911
GEO1_CA1971
GEO1_CA1981
GEO1_CA1991
GEO1_CA2001
GEO1_CA2011
DISTCA
SDSTCA
METROCA
GEO1_CL
GEO1ALT_CL
